Volatility 3 Framework 2.7.1

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name
4	System	0xc60793aecae0	0x78	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001
4	System	0xa3070b6cedf0	0x7c	ALPC Port	0x1f0001	PowerMonitorPort
4	System	0xc60793aeac60	0x80	Key	0x11	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER
4	System	0xa3070b79bdf0	0x84	ALPC Port	0x1f0001	PowerPort
4	System	0xc60793aec630	0x88	Key	0xf003f	USER
4	System	0xc60793b24a30	0x8c	Key	0xf003f	MACHINE\SYSTEM\DRIVERDATABASE
4	System	0xc60793aecdb0	0x90	Key	0xf003f	MACHINE\SYSTEM
4	System	0xa3070b697b70	0x94	Event	0x1f0003	
4	System	0xc60793b24c50	0x98	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\ENUM
4	System	0xc60793b245f0	0x9c	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICECLASSES
4	System	0xc60793bedcc0	0xa0	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICECLASSES
4	System	0xc60793b244e0	0xa4	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICECONTAINERS
4	System	0xc60793b234f0	0xa8	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS
4	System	0xc60793b23820	0xac	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICEPANELS
4	System	0xc60793b233e0	0xb0	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\SERVICES
4	System	0xc60793b24b40	0xb4	Key	0xf003f	MACHINE\SYSTEM\HARDWARECONFIG
4	System	0xc60795258e60	0xb8	Key	0x20000	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E97D-E325-11CE-BFC1-08002BE10318}\0127\SETTINGS
4	System	0xc60793bedae0	0xbc	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\HARDWARE PROFILES
4	System	0xc60795449f70	0xc0	SymbolicLink	0xf0001	ACPI#GenuineIntel_-_Intel64_Family_6_Model_151_-_12th_Gen_Intel(R)_Core(TM)_i5-12600K#_1#{dbe4373d-3c81-40cb-ace4-e0e5d05f0c9f}
4	System	0xc60793b24700	0xc4	Key	0xf003f	MACHINE\SYSTEM\RNG
4	System	0xc60793bed360	0xc8	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\STORPORT
4	System	0xc60793b24810	0xcc	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\WMI\SECURITY
4	System	0xc60795257700	0xd0	Key	0x20000	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E97D-E325-11CE-BFC1-08002BE10318}\0127
4	System	0xc60793b75040	0xd4	Token	0xe	
4	System	0xc60793e9b4a0	0xd8	SymbolicLink	0xf0001	PCIIDE#IDEChannel#4&23686003&0&1#{2accfe60-c130-11d2-b082-00a0c91efb8b}
4	System	0xc60793fd3e90	0xdc	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 1
4	System	0xc60793f5a260	0xe0	SymbolicLink	0xf0001	ROOT#vdrvroot#0000#{2e34d650-5819-42ca-84ae-d30803bae505}
4	System	0xc60793be61d0	0xe4	SymbolicLink	0xf0001	ACPI#FixedButton#2&daba3ff&0#{4afa3d53-74a7-11d0-be5e-00a0c9062857}
4	System	0xc60793b24e70	0xe8	Key	0xf003f	MACHINE\SYSTEM\HARDWARECONFIG\{F4534D56-2DC0-61D6-6184-278F3AE31E09}\PRODUCTIDS
4	System	0xc60795449d30	0xec	SymbolicLink	0xf0001	ACPI#GenuineIntel_-_Intel64_Family_6_Model_151_-_12th_Gen_Intel(R)_Core(TM)_i5-12600K#_1#{97fadb10-4e33-40ae-359c-8bef029dbdd0}
4	System	0xc60795449ca0	0xf0	SymbolicLink	0xf0001	ACPI#GenuineIntel_-_Intel64_Family_6_Model_151_-_12th_Gen_Intel(R)_Core(TM)_i5-12600K#_0#{dbe4373d-3c81-40cb-ace4-e0e5d05f0c9f}
4	System	0xc607952fbbd0	0xf4	SymbolicLink	0xf0001	ACPI#VMW0001#7#{3ff2c92b-6598-4e60-8e1c-0ccf4927e319}
4	System	0xc607954499d0	0xf8	SymbolicLink	0xf0001	ACPI#GenuineIntel_-_Intel64_Family_6_Model_151_-_12th_Gen_Intel(R)_Core(TM)_i5-12600K#_0#{97fadb10-4e33-40ae-359c-8bef029dbdd0}
4	System	0xc6079544a240	0xfc	SymbolicLink	0xf0001	SCSI#CdRom&Ven_NECVMWar&Prod_VMware_SATA_CD01#5&260e6d66&0&010000#{53f56308-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xc6079544a120	0x100	SymbolicLink	0xf0001	SCSI#CdRom&Ven_NECVMWar&Prod_VMware_SATA_CD01#5&260e6d66&0&010000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xc607954494c0	0x104	SymbolicLink	0xf0001	ACPI#VMW0003#4&1bd7f811&0#{378de44c-56ef-11d1-bc8c-00a0c91405dd}
4	System	0xc60795449dc0	0x108	SymbolicLink	0xf0001	ACPI#PNP0303#4&1bd7f811&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
4	System	0xc6079544a5a0	0x10c	SymbolicLink	0xf0001	ROOT#UMBUS#0000#{65a9a6cf-64cd-480b-843e-32c86e1ba19f}
4	System	0xc60795449940	0x110	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{ffbb6e3f-ccfe-4d84-90d9-421418b03a8e}
4	System	0xc60795449820	0x114	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{97ebaacb-95bd-11d0-a3ea-00a0c9223196}
4	System	0xc60795449670	0x118	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{cf1dda2c-9743-11d0-a3ee-00a0c9223196}
4	System	0xc6079544a2d0	0x11c	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{53172480-4791-11d0-a5d6-28db04c10000}
4	System	0xc6079544a1b0	0x120	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{0a4252a0-7e70-11d0-a5d6-28db04c10000}
4	System	0xc60795449b80	0x124	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{3c0d501a-140b-11d1-b40f-00a0c9223196}
4	System	0xa3070e6bb6a0	0x128	File	0x120089	\Device\HarddiskVolume3\Windows\System32\drivers\en-US\USBXHCI.SYS.mui
4	System	0xc60793a22940	0x12c	Directory	0x1	Device
4	System	0xa3070e6b75f0	0x130	File	0x12019f	\Device\HarddiskVolume3\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM.blf
4	System	0xa3070e33c490	0x134	TmTm	0xf003f	
4	System	0xa3070f2a9080	0x138	Process	0x102a	winlogon.exe Pid 588
4	System	0xa3070e33c8b0	0x13c	TmRm	0x1f007f	
4	System	0xa3070e6b9590	0x144	File	0x12019f	\Device\HarddiskVolume3\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000002.regtrans-ms
4	System	0xa3070e5084a0	0x14c	TmRm	0x1f007f	
4	System	0xc60795448b30	0x150	SymbolicLink	0xf0001	PCI#VEN_15AD&DEV_0774&SUBSYS_197615AD&REV_00#4&bbf9765&0&0088#{3abf6f2d-71c4-462a-8a92-1e6861e6af27}
4	System	0xc607954d4420	0x154	Section	0x17	
4	System	0xa3070e68b6a2	0x158	Timer	0x3	
4	System	0xa3070e68b512	0x15c	Profile	0x3	
4	System	0xc60795449790	0x160	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{4747b320-62ce-11cf-a5d6-28db04c10000}
4	System	0xa3070e68aa20	0x164	File	0x20003	\Device\HarddiskVolume3\Windows\System32\config\SYSTEM
4	System	0xa3070e7b5830	0x168	File	0x140003	\Device\HarddiskVolume3\swapfile.sys
4	System	0xa3070e2f6ee0	0x16c	File	0x120089	\Device\HarddiskVolume3\Windows\System32\drivers\en-US\ntfs.sys.mui
4	System	0xc60793f5b3d0	0x170	SymbolicLink	0xf0001	ROOT#spaceport#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xc60793fbbc40	0x174	Key	0x8	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{0AABB002-A307-447E-9B81-1D819DF6C6D0}\{CE74AA52-A71A-4036-BEEF-B6C411010E28}
4	System	0xc60793fd4600	0x178	Key	0x8	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{EE1E4F72-E368-46B1-B3C6-5048B11C2DBD}\{9C1F0DBA-33E9-43AF-9EDA-A607AA5139DA}
4	System	0xc60793fbbd50	0x17c	Key	0x8	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{0DA965DC-8FCF-4C0B-8EFE-8DD5E7BC959A}\{7E01ADEF-81E6-4E1B-8075-56F373584694}
4	System	0xa3070e0bbaf0	0x180	ALPC Port	0x1f0001	PdcPort
4	System	0xc60793fba2c0	0x184	Key	0x8	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{8BC6262C-C026-411D-AE3B-7E2F70811A13}\{C072EEBB-1955-4FA9-B4BA-421E96E1D674}
4	System	0xc60793fd3830	0x188	Key	0x8	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{D4140C81-EBBA-4E60-8561-6918290359CD}\{35037BB4-9528-481D-8CB2-8FCC63A9DD81}
4	System	0xa3070e0bc040	0x18c	Thread	0x1fffff	Tid 232 Pid 4
4	System	0xc60793f5a920	0x190	SymbolicLink	0xf0001	ROOT#spaceport#0000#{ef66a56f-88d1-4cd8-98c4-49faf57ad8af}
4	System	0xc60793f5b460	0x194	SymbolicLink	0xf0001	ROOT#volmgr#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xc60793e9b380	0x198	SymbolicLink	0xf0001	PCI#VEN_15AD&DEV_07E0&SUBSYS_07E015AD&REV_00#4&bbf9765&0&1888#{2accfe60-c130-11d2-b082-00a0c91efb8b}
4	System	0xa3070e0ce040	0x19c	Thread	0x1fffff	Tid 236 Pid 4
4	System	0xc60793fd4930	0x1a0	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0
4	System	0xc60793fd6e60	0x1a4	Key	0xb	MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\24
4	System	0xc60793fd30c0	0x1a8	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 2
4	System	0xc60793fd3940	0x1ac	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 3
4	System	0xc60793e9c100	0x1b0	SymbolicLink	0xf0001	PCIIDE#IDEChannel#4&23686003&0&0#{2accfe60-c130-11d2-b082-00a0c91efb8b}
4	System	0xc60793fd4e80	0x1b4	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 5
4	System	0xc60793fd51b0	0x1b8	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 7
4	System	0xc60793fd3610	0x1bc	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 6
4	System	0xc60793fd50a0	0x1c0	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 4
4	System	0xc60793fd3500	0x1c4	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 8
4	System	0xc60793fd42d0	0x1c8	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 9
4	System	0xc60793fd31d0	0x1cc	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 10
4	System	0xc60793fd32e0	0x1d0	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 11
4	System	0xc60793fd40b0	0x1d4	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 12
4	System	0xc60793fd3a50	0x1d8	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 13
4	System	0xc60793fd3d80	0x1dc	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 14
4	System	0xc60793fd4c60	0x1e0	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 15
4	System	0xc60793fd4710	0x1fc	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 22
4	System	0xc60793fd62b0	0x20c	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 26
4	System	0xc60793fd6090	0x218	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 29
4	System	0xa3070e2b7080	0x21c	Thread	0x1fffff	Tid 260 Pid 4
4	System	0xc60795045e80	0x220	SymbolicLink	0xf0001	STORAGE#Volume#{dfebb3e0-0c5e-11ef-bee3-806e6f6e6963}#0000000007500000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xc60795045970	0x224	SymbolicLink	0xf0001	STORAGE#Volume#{dfebb3e0-0c5e-11ef-bee3-806e6f6e6963}#0000000000100000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xc60793fd5a30	0x228	Key	0xb	MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\71
4	System	0xc607950457c0	0x22c	SymbolicLink	0xf0001	STORAGE#Volume#{dfebb3e0-0c5e-11ef-bee3-806e6f6e6963}#0000000006500000#{7f108a28-9833-4b3b-b780-2c6b5fa5c062}
4	System	0xc60795045a90	0x230	SymbolicLink	0xf0001	STORAGE#Volume#{dfebb3e0-0c5e-11ef-bee3-806e6f6e6963}#0000000EDE500000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xc60793e9b5c0	0x234	SymbolicLink	0xf0001	PCI#VEN_15AD&DEV_07F0&SUBSYS_07F015AD&REV_00#4&3b50545d&0&00B8#{2accfe60-c130-11d2-b082-00a0c91efb8b}
4	System	0xc60793e9b1d0	0x238	SymbolicLink	0xf0001	PCI#VEN_15AD&DEV_07F0&SUBSYS_07F015AD&REV_00#4&3b50545d&0&00B8#{dbe4373d-3c81-40cb-ace4-e0e5d05f0c9f}
4	System	0xc60793fd3b60	0x23c	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 0
4	System	0xc60793aeeca0	0x240	Directory	0xf000f	Harddisk0
4	System	0xc60793fd41c0	0x244	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
4	System	0xa3070e4f6b60	0x248	TmTm	0xf003f	
4	System	0xa3070e4f7050	0x24c	TmRm	0x1f007f	
4	System	0xa3070e0f6580	0x250	FilterConnectionPort	0x1f0001	MicrosoftMalwareProtectionControlPortWD
4	System	0xa3070e4f7300	0x254	TmRm	0x1f007f	
4	System	0xa3070e0f6370	0x258	FilterConnectionPort	0x1f0001	MicrosoftMalwareProtectionPortWD
4	System	0xa3070e0f6420	0x25c	FilterConnectionPort	0x1f0001	MicrosoftMalwareProtectionVeryLowIoPortWD
4	System	0xa3070e0f62c0	0x260	FilterConnectionPort	0x1f0001	MicrosoftMalwareProtectionRemoteIoPortWD
4	System	0xa3070e0f6f20	0x264	FilterConnectionPort	0x1f0001	MicrosoftMalwareProtectionAsyncPortWD
4	System	0xc60793bed9f0	0x268	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
4	System	0xc60793fd4b50	0x26c	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\POLICIES
4	System	0xa3070b687040	0x270	Process	0x1440	System Pid 4
4	System	0xc60793a46710	0x274	Token	0xf01ff	
4	System	0xc60793fbb5e0	0x278	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORKPROVIDER\ORDER
4	System	0xc60793fd66f0	0x27c	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORKPROVIDER\PROVIDERORDER
4	System	0xc60793bec0a0	0x280	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\SERVICES\MUP
4	System	0xc60793bedea0	0x284	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT
4	System	0xc60793bec190	0x288	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\SERVICES\IORATE
4	System	0xc607953fb540	0x28c	Key	0x20000	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E97D-E325-11CE-BFC1-08002BE10318}\0127
4	System	0xc60793fd64d0	0x290	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\ENERGYESTIMATION\STORAGE\NVME\IDLESTATE
4	System	0xc60795044b60	0x294	SymbolicLink	0xf0001	SCSI#Disk&Ven_NVMe&Prod_VMware_Virtual_N#5&25a13950&0&000000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xa3070e2b0500	0x298	Thread	0x1fffff	Tid 256 Pid 4
4	System	0xa3070e6b6790	0x29c	File	0x13008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\RtBackup\EtwRTUBPM.etl
4	System	0xa3070e2f1c20	0x2a0	File	0x12019f	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
4	System	0xa3070e2ec300	0x2a4	TmRm	0x1f007f	
4	System	0xa3070e2a3ed0	0x2a8	File	0x12019f	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
4	System	0xa3070e2f17d0	0x2ac	File	0x12019f	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
4	System	0xa3070e2f1ab0	0x2b8	File	0x1	\Device\HarddiskVolume3\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
4	System	0xa3070e2eba50	0x2c8	TmTm	0xf003f	
4	System	0xc60793aed5e0	0x2cc	Directory	0xf000f	cimfs
4	System	0xc607953fabe0	0x2d0	Key	0x20000	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E97D-E325-11CE-BFC1-08002BE10318}\0127\SETTINGS
4	System	0xa3070e2eca70	0x2d4	TmRm	0x12007f	
4	System	0xc607970c82d0	0x2d8	Key	0x10	MACHINE\SOFTWARE\POLICIES\MICROSOFT\WINDOWS
4	System	0xa3070e6b47f0	0x2dc	File	0x13008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-System.etl
4	System	0xa3070e6b6340	0x2e0	File	0x13008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDiagLog.etl
4	System	0xa3070e6b6620	0x2e4	File	0x12008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\Wifi.etl
4	System	0xa3070e6b6d50	0x2e8	File	0x12008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\NetCore.etl
4	System	0xa3070e6b4c40	0x2ec	File	0x13008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderApiLogger.etl
4	System	0xa3070e60c9b4	0x2f0	Section	0x12019f	
4	System	0xa3070e6b5ef0	0x2f4	File	0x12008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\LwtNetLog.etl
4	System	0xa3070e69a050	0x2f8	TmRm	0x12007f	
4	System	0xc60793ead3d0	0x2fc	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\HVSI
4	System	0xa3070e60c280	0x304	File	0x1	\Device\HarddiskVolume4\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
4	System	0xc60793fd5e70	0x30c	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\SERVICES\VWIFIFLT\STATE\PARAMETERS\VWIFISETTINGS
4	System	0xa3070e60b420	0x310	File	0x12019f	\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
4	System	0xc607979b2d80	0x314	Key	0x11	MACHINE\SYSTEM\CONTROLSET001\CONTROL\KERNELVELOCITY
4	System	0xc60793b230b0	0x318	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{221601AB-48C7-4970-B0EC-96E66F578407}
4	System	0xa3071040ad80	0x31c	IoCompletion	0x1f0003	
4	System	0xa3070e378040	0x320	Process	0x1fffff	smss.exe Pid 300
4	System	0xc60793fd6910	0x324	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{FB9F5B62-B48B-45F5-8586-E514958C92E2}
4	System	0xc60793eac0b0	0x328	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{59AEE675-B203-4D61-9A1F-04518A20F359}
4	System	0xc60793ead810	0x32c	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{D73E01AC-F5A0-4D80-928B-33C1920C38BA}
4	System	0xc6079524ecc0	0x330	Key	0x11	MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA
4	System	0xa3070e372070	0x334	ALPC Port	0x1f0001	SeRmCommandPort
4	System	0xc60793ead920	0x338	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\SERVICES\DFSC\PARAMETERS
4	System	0xa3070e378040	0x33c	Process	0x102a	smss.exe Pid 300
4	System	0xc607952571b0	0x340	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL
4	System	0xa3070e33b040	0x344	Thread	0x1fffff	Tid 284 Pid 4
4	System	0xc60795256e80	0x348	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL
4	System	0xc6079524dbe0	0x34c	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
4	System	0xa3070e60c6d0	0x358	File	0x12019f	\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
4	System	0xa3070e60d810	0x35c	File	0x12019f	\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
4	System	0xa3070e6b4230	0x360	File	0x12008b	\Device\HarddiskVolume3\Windows\System32\WDI\LogFiles\BootPerfDiagLogger.etl
4	System	0xc60793b23e80	0x364	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA
4	System	0xa3070e7b4ed0	0x368	File	0x140003	\Device\HarddiskVolume3\pagefile.sys
4	System	0xa3070e3020b0	0x36c	File	0x120116	\Device\Mup
4	System	0xc60793eac1c0	0x370	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{A25AE4F2-1B96-4CED-8007-AA30E9B1A218}
4	System	0xc6079524ddc0	0x374	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER
4	System	0xc6079524e180	0x378	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL
4	System	0xc607952562d0	0x37c	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL
4	System	0xc60795073190	0x380	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL
4	System	0xc60795255a50	0x384	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL
4	System	0xc60793eacd70	0x388	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\SERVICES\BAM\STATE\USERSETTINGS
4	System	0xc607952280c0	0x38c	Section	0x6	
4	System	0xc6079524e090	0x390	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL
4	System	0xa3070e378040	0x394	Process	0x102a	smss.exe Pid 300
4	System	0xa3070e6b6060	0x398	File	0x12008b	\Device\HarddiskVolume3\Windows\System32\WDI\LogFiles\WdiContextLog.etl.001
4	System	0xa3070e6b40c0	0x39c	File	0x12008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\RadioMgr.etl
